Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,latitude,longitude
2025\2026,Milho 1ª Safra,MT,ACORIZAL,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.177340506159048,-56.31802772309559
2025\2026,Milho 1ª Safra,MT,AGUA BOA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.977573672954097,-52.50024153380583
2025\2026,Milho 1ª Safra,MT,ALTA FLORESTA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.055779771310911,-56.367691384398086
2025\2026,Milho 1ª Safra,MT,ALTO ARAGUAIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-17.44979772350774,-53.466702197321084
2025\2026,Milho 1ª Safra,MT,ALTO BOA VISTA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.811504820846148,-51.75024929318666
2025\2026,Milho 1ª Safra,MT,ALTO GARCAS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.889012427217928,-53.5807402821739
2025\2026,Milho 1ª Safra,MT,ALTO PARAGUAI,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.759874744269561,-56.661290443352385
2025\2026,Milho 1ª Safra,MT,ALTO TAQUARI,Grupo I,ARENOSO,Sequeiro,Não se aplica,-17.827147155707276,-53.296681752232544
2025\2026,Milho 1ª Safra,MT,APIACAS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-8.758697642424645,-57.826014136879635
2025\2026,Milho 1ª Safra,MT,ARAGUAIANA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.123521658958087,-51.79514829598653
2025\2026,Milho 1ª Safra,MT,ARAGUAINHA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.753856990900367,-53.1254699325771
2025\2026,Milho 1ª Safra,MT,ARAPUTANGA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.252987628006565,-58.459155098414605
2025\2026,Milho 1ª Safra,MT,ARENAPOLIS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.507069533522046,-56.859386322111206
2025\2026,Milho 1ª Safra,MT,ARIPUANA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.179681227750054,-59.856300933910994
2025\2026,Milho 1ª Safra,MT,BARAO DE MELGACO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.810443363610144,-56.02951845935092
2025\2026,Milho 1ª Safra,MT,BARRA DO BUGRES,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.06775849185751,-57.55948162552704
2025\2026,Milho 1ª Safra,MT,BARRA DO GARCAS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.382054419029066,-52.50904172907003
2025\2026,Milho 1ª Safra,MT,BOA ESPERANCA DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,,
2025\2026,Milho 1ª Safra,MT,BOM JESUS DO ARAGUAIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.217836303343539,-51.73951391960331
2025\2026,Milho 1ª Safra,MT,BRASNORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.423125168814437,-57.99883925705735
2025\2026,Milho 1ª Safra,MT,CACERES,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.538386539657527,-57.834544548178
2025\2026,Milho 1ª Safra,MT,CAMPINAPOLIS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.373722255926426,-53.113698218936214
2025\2026,Milho 1ª Safra,MT,CAMPO NOVO DO PARECIS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.688248098086222,-57.930885193755735
2025\2026,Milho 1ª Safra,MT,CAMPO VERDE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.399759704012437,-55.031539303005935
2025\2026,Milho 1ª Safra,MT,CAMPOS DE JULIO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.579827131850694,-59.19306396072131
2025\2026,Milho 1ª Safra,MT,CANABRAVA DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.201604787950417,-51.82359298674191
2025\2026,Milho 1ª Safra,MT,CANARANA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.32986382298588,-52.398874930219066
2025\2026,Milho 1ª Safra,MT,CARLINDA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.106374064631824,-55.83413545031954
2025\2026,Milho 1ª Safra,MT,CASTANHEIRA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.94073439294868,-58.602790417418824
2025\2026,Milho 1ª Safra,MT,CHAPADA DOS GUIMARAES,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.125197851263671,-55.582636199519385
2025\2026,Milho 1ª Safra,MT,CLAUDIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.448141638766591,-55.04766110183202
2025\2026,Milho 1ª Safra,MT,COCALINHO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.853434996668147,-51.14321796226197
2025\2026,Milho 1ª Safra,MT,COLIDER,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.631043550701493,-55.46857311241329
2025\2026,Milho 1ª Safra,MT,COLNIZA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.29233950217242,-60.3043221047889
2025\2026,Milho 1ª Safra,MT,COMODORO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.193639987164005,-59.751327072807776
2025\2026,Milho 1ª Safra,MT,CONFRESA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.404179550354216,-51.69856849945449
2025\2026,Milho 1ª Safra,MT,CONQUISTA D'OESTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.63465539844642,-59.33223491531675
2025\2026,Milho 1ª Safra,MT,COTRIGUACU,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.537469499520746,-58.67516613498699
2025\2026,Milho 1ª Safra,MT,CUIABA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.452405856701967,-55.955467318247024
2025\2026,Milho 1ª Safra,MT,CURVELANDIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.617103299887308,-57.87647840099127
2025\2026,Milho 1ª Safra,MT,DENISE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.729993772325454,-56.96159833783059
2025\2026,Milho 1ª Safra,MT,DIAMANTINO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.095761581820572,-56.804573426146966
2025\2026,Milho 1ª Safra,MT,DOM AQUINO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.655755075616035,-54.77417015816232
2025\2026,Milho 1ª Safra,MT,FELIZ NATAL,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.932923340976341,-54.18483389540524
2025\2026,Milho 1ª Safra,MT,FIGUEIROPOLIS D'OESTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.52733249547158,-58.702560650064946
2025\2026,Milho 1ª Safra,MT,GAUCHA DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.995923815803783,-53.45613605797504
2025\2026,Milho 1ª Safra,MT,GENERAL CARNEIRO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.557257492418277,-53.39167166293087
2025\2026,Milho 1ª Safra,MT,GLORIA D'OESTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.839200299728212,-58.325293267879545
2025\2026,Milho 1ª Safra,MT,GUARANTA DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.776258262453181,-54.621074359943314
2025\2026,Milho 1ª Safra,MT,GUIRATINGA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.384274340014557,-53.5877979071444
2025\2026,Milho 1ª Safra,MT,INDIAVAI,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.335245315705947,-58.597500483334905
2025\2026,Milho 1ª Safra,MT,IPIRANGA DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.016973282754654,-56.058640805363694
2025\2026,Milho 1ª Safra,MT,ITANHANGA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.14038643739352,-56.75487253744829
2025\2026,Milho 1ª Safra,MT,ITAUBA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.110968364742106,-55.58937656347478
2025\2026,Milho 1ª Safra,MT,ITIQUIRA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-17.333900301384396,-54.59733176391131
2025\2026,Milho 1ª Safra,MT,JACIARA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.9774767246122,-55.190439908760126
2025\2026,Milho 1ª Safra,MT,JANGADA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.354864083595235,-56.59978072104455
2025\2026,Milho 1ª Safra,MT,JAURU,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.304768795618463,-58.86564459046137
2025\2026,Milho 1ª Safra,MT,JUARA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.023741891413547,-57.618386659809325
2025\2026,Milho 1ª Safra,MT,JUINA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.5320858755133,-59.324478017425086
2025\2026,Milho 1ª Safra,MT,JURUENA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.397468228994999,-58.624794343310484
2025\2026,Milho 1ª Safra,MT,JUSCIMEIRA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.214915129900227,-54.96053541326406
2025\2026,Milho 1ª Safra,MT,LAMBARI D'OESTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.377039996404033,-57.779205941127586
2025\2026,Milho 1ª Safra,MT,LUCAS DO RIO VERDE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.037261144418945,-56.167418941725316
2025\2026,Milho 1ª Safra,MT,LUCIARA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.014681624259495,-50.945789628155794
2025\2026,Milho 1ª Safra,MT,MARCELANDIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.886225715915609,-54.05332765211168
2025\2026,Milho 1ª Safra,MT,MATUPA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.013958257537718,-54.35682087480522
2025\2026,Milho 1ª Safra,MT,MIRASSOL D'OESTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.654147713902674,-58.0550118256847
2025\2026,Milho 1ª Safra,MT,NOBRES,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.378184921360301,-55.81335031877804
2025\2026,Milho 1ª Safra,MT,NORTELANDIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.347673876429152,-56.722591784774544
2025\2026,Milho 1ª Safra,MT,NOSSA SENHORA DO LIVRAMENTO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.839050419589114,-56.48389749313609
2025\2026,Milho 1ª Safra,MT,NOVA BANDEIRANTES,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.768457275488593,-58.07692559802628
2025\2026,Milho 1ª Safra,MT,NOVA BRASILANDIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.782915256438635,-55.057779244239114
2025\2026,Milho 1ª Safra,MT,NOVA CANAA DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.70026733501848,-56.041759887527924
2025\2026,Milho 1ª Safra,MT,NOVA GUARITA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.293834626771273,-55.33818976143484
2025\2026,Milho 1ª Safra,MT,NOVA LACERDA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.29982697840935,-59.77144648303056
2025\2026,Milho 1ª Safra,MT,NOVA MARILANDIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.29044999566911,-57.25734239499896
2025\2026,Milho 1ª Safra,MT,NOVA MARINGA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.78393065558067,-57.2202791086816
2025\2026,Milho 1ª Safra,MT,NOVA MONTE VERDE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.970169144432404,-57.24566664509817
2025\2026,Milho 1ª Safra,MT,NOVA MUTUM,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.629976199981861,-56.10550897670243
2025\2026,Milho 1ª Safra,MT,NOVA NAZARE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.156268506246771,-51.89000938976273
2025\2026,Milho 1ª Safra,MT,NOVA OLIMPIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.80443807730864,-57.42148794620088
2025\2026,Milho 1ª Safra,MT,NOVA SANTA HELENA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.918914237708062,-54.9066799047824
2025\2026,Milho 1ª Safra,MT,NOVA UBIRATA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.021686467185882,-54.762038472560775
2025\2026,Milho 1ª Safra,MT,NOVA XAVANTINA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.6346135869936,-52.3801227963785
2025\2026,Milho 1ª Safra,MT,NOVO HORIZONTE DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.383654289438098,-57.30351345713426
2025\2026,Milho 1ª Safra,MT,NOVO MUNDO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.752114130757457,-55.40364642936435
2025\2026,Milho 1ª Safra,MT,NOVO SANTO ANTONIO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-12.313343672448948,-50.887982305595685
2025\2026,Milho 1ª Safra,MT,NOVO SAO JOAQUIM,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.081171015898015,-53.252446435231676
2025\2026,Milho 1ª Safra,MT,PARANAITA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-9.593571533092907,-56.68257624397701
2025\2026,Milho 1ª Safra,MT,PARANATINGA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-13.675032557499415,-54.09705504745285
2025\2026,Milho 1ª Safra,MT,PEDRA PRETA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.799087705219304,-54.24972580914633
2025\2026,Milho 1ª Safra,MT,PEIXOTO DE AZEVEDO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.14947898481318,-53.593901632139726
2025\2026,Milho 1ª Safra,MT,PLANALTO DA SERRA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-14.588733234301495,-54.67394776724091
2025\2026,Milho 1ª Safra,MT,POCONE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.78281369366485,-56.94468349157525
2025\2026,Milho 1ª Safra,MT,PONTAL DO ARAGUAIA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.93198214093156,-52.721446168360245
2025\2026,Milho 1ª Safra,MT,PONTE BRANCA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-16.659000831430472,-52.93650287550965
2025\2026,Milho 1ª Safra,MT,PONTES E LACERDA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.516818540014661,-59.45774010622287
2025\2026,Milho 1ª Safra,MT,PORTO ALEGRE DO NORTE,Grupo I,ARENOSO,Sequeiro,Não se aplica,-10.826138655816438,-51.71350957521822
2025\2026,Milho 1ª Safra,MT,PORTO DOS GAUCHOS,Grupo I,ARENOSO,Sequeiro,Não se aplica,-11.734963045135327,-56.745745232119916
2025\2026,Milho 1ª Safra,MT,PORTO ESPERIDIAO,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.956402823060635,-58.98228198779863
2025\2026,Milho 1ª Safra,MT,PORTO ESTRELA,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.52117207887142,-57.21548346299807
2025\2026,Milho 1ª Safra,MT,POXOREU,Grupo I,ARENOSO,Sequeiro,Não se aplica,-15.853916174982974,-54.18325178144573
