Geocodigo,Município,Natura_Maior,Solo,Risco_Plantio_Perc,Latitude,Longitude
5100102,Acorizal,Mamona,AD1,30.0,-15.177213810755632,-56.318332290133036
5100201,Água Boa,Mamona,AD1,25.0,-13.976814808763283,-52.49936111377782
5100250,Alta Floresta,Mamona,AD1,27.5,-10.054016977735722,-56.3656709008025
5100300,Alto Araguaia,Mamona,AD1,26.666666666666668,-17.44387541127246,-53.467921548083545
5100359,Alto Boa Vista,Mamona,AD1,25.0,-11.810434410810208,-51.749179799756334
5100409,Alto Garças,Mamona,AD1,23.333333333333332,-16.887707734665465,-53.589481199144586
5100508,Alto Paraguai,Mamona,AD1,30.0,-14.74844166749892,-56.637256140439
5100607,Alto Taquari,Mamona,AD1,25.0,-17.827277428393646,-53.2945747505732
5100805,Apiacás,Mamona,AD1,25.0,-8.75217787908632,-57.82783031839473
5101001,Araguaiana,Mamona,AD1,30.0,-15.125577940493777,-51.80321608799942
5101209,Araguainha,Mamona,AD1,26.666666666666668,-16.747450969478862,-53.12031644736564
5101258,Araputanga,Mamona,AD1,30.0,-15.25568156414758,-58.45723029843035
5101308,Arenápolis,Mamona,AD1,25.0,-14.505748361313735,-56.858753835078154
5101407,Aripuanã,Mamona,AD1,30.0,-10.187324665154232,-59.839711573478866
5101605,Barão de Melgaço,Mamona,AD1,27.5,-16.8200763347219,-56.03141762467412
5101704,Barra do Bugres,Mamona,AD1,27.5,-15.11833093568001,-57.271576739901285
5101803,Barra do Garças,Mamona,AD1,25.0,-15.359131268249048,-52.49656258165162
5101837,Boa Esperança do Norte,Mamona,AD1,27.5,,
5101852,Bom Jesus do Araguaia,Mamona,AD1,27.5,-12.216616197812693,-51.73889276511118
5101902,Brasnorte,Mamona,AD1,22.5,-12.4242051688071,-57.995638643653415
5102504,Cáceres,Mamona,AD1,27.5,-16.537026398390452,-57.83802505882024
5102603,Campinápolis,Mamona,AD1,27.5,-14.373799937889391,-53.12878450553475
5102637,Campo Novo do Parecis,Mamona,AD1,25.0,-13.688818349113552,-57.93169918036131
5102678,Campo Verde,Mamona,AD1,26.666666666666668,-15.345608744119799,-54.9594430446835
5102686,Campos de Júlio,Mamona,AD1,26.666666666666668,-13.577277455181672,-59.191500298386295
5102694,Canabrava do Norte,Mamona,AD1,27.5,-11.200630699334813,-51.822676829265426
5102702,Canarana,Mamona,AD1,27.5,-13.331038970385213,-52.39826453372084
5102793,Carlinda,Mamona,AD1,22.5,-10.10455358389994,-55.830023406092934
5102850,Castanheira,Mamona,AD1,30.0,-10.955333088211063,-58.60391330472033
5103007,Chapada dos Guimarães,Mamona,AD1,23.333333333333332,-15.110149473894857,-55.540249083560845
5103056,Cláudia,Mamona,AD1,27.5,-11.448070044335832,-55.04774359972345
5103106,Cocalinho,Mamona,AD1,25.0,-13.866506454312843,-51.146214992702234
5103205,Colíder,Mamona,AD1,27.5,-10.622069252047309,-55.46767312417748
5103254,Colniza,Mamona,AD1,25.0,-9.292597692200609,-60.306530383328564
5103304,Comodoro,Mamona,AD1,25.0,-13.18873146933978,-59.75105243172269
5103353,Confresa,Mamona,AD1,25.0,-10.403113848324747,-51.69746075476245
5103361,Conquista D'Oeste,Mamona,AD1,25.0,-14.634654360238851,-59.33131485447784
5103379,Cotriguaçu,Mamona,AD1,27.5,-9.536116630044663,-58.67754359308193
5103403,Cuiabá,Mamona,AD1,27.5,-15.448559564029102,-55.9383331725012
5103437,Curvelândia,Mamona,AD1,30.0,-15.61516380583528,-57.87689213277499
5103452,Denise,Mamona,AD1,30.0,-14.72430121086076,-56.961980092993
5103502,Diamantino,Mamona,AD1,25.0,-14.0917689497232,-56.800712868527235
5103601,Dom Aquino,Mamona,AD1,25.0,-15.657865594473979,-54.772601130260526
5103700,Feliz Natal,Mamona,AD1,30.0,-11.917191400012204,-54.16516014094148
5103809,Figueirópolis D'Oeste,Mamona,AD1,30.0,-15.524795744952693,-58.702072237026435
5103858,Gaúcha do Norte,Mamona,AD1,27.5,-12.995194038851599,-53.45525628586111
5103908,General Carneiro,Mamona,AD1,23.333333333333332,-15.557744992206917,-53.39102546883658
5103957,Glória D'Oeste,Mamona,AD1,27.5,-15.840526604152144,-58.31962242989893
5104104,Guarantã do Norte,Mamona,AD1,22.5,-9.774901633322683,-54.61681418330766
5104203,Guiratinga,Mamona,AD1,26.666666666666668,-16.376099727701767,-53.57692763529612
5104500,Indiavaí,Mamona,AD1,30.0,-15.332495009157928,-58.599068699703125
5104526,Ipiranga do Norte,Mamona,AD1,27.5,-12.014041901511076,-56.0553128507289
5104542,Itanhangá,Mamona,AD1,22.5,-12.141243815444867,-56.75013984670879
5104559,Itaúba,Mamona,AD1,27.5,-11.106634322367773,-55.584829094566665
5104609,Itiquira,Mamona,AD1,26.666666666666668,-17.333442860843025,-54.602006590427465
5104807,Jaciara,Mamona,AD1,25.0,-15.90282501326298,-55.1104618087026
5104906,Jangada,Mamona,AD1,25.0,-15.32976270815675,-56.54960665161244
5105002,Jauru,Mamona,AD1,30.0,-15.31032948692148,-58.86484790826246
5105101,Juara,Mamona,AD1,27.5,-11.020134881465104,-57.6115067895495
5105150,Juína,Mamona,AD1,27.5,-11.532719250867324,-59.32719600970445
5105176,Juruena,Mamona,AD1,30.0,-10.359187456688534,-58.591749832130596
5105200,Juscimeira,Mamona,AD1,26.666666666666668,-16.18069519035913,-54.899216999260496
5105234,Lambari D'Oeste,Mamona,AD1,27.5,-15.374727807526604,-57.78218725672337
5105259,Lucas do Rio Verde,Mamona,AD1,25.0,-13.037320124391803,-56.165726435635136
5105309,Luciara,Mamona,AD1,30.0,-11.00737626889974,-50.934951491491496
